,root,group,prob,X1_1,X2_1,X1_2,X2_2,X1_3,X2_3,X1_4,X2_4,X1_5,X2_5,X1_6,X2_6,X1_7,X2_7,X1_8,X2_8,X1_9,X2_9,X1_10,X2_10
0,ecj2018,national-500-5000,lu980.tsp,0.51442426,0.13921084,-0.122949265,-0.07453725,0.11967571,0.11047132,-0.13486649,-0.16044636,0.5258543,0.036027882,-0.012579343,0.08470919,0.3055438,0.14985868,-0.028759234,-0.012774021,-0.117693216,0.19005513,0.70983803,0.27845415
1,ecj2018,national-500-5000,mu1979.tsp,-0.059731822,0.11678745,-0.029306825,0.0737315,0.028066069,-0.026992207,-0.16658661,-0.16853642,0.43102533,-0.0038852892,0.064438604,0.059704095,-0.037627596,0.37401205,-0.12999533,-0.08194734,-0.11510044,1.2485608,0.41282946,0.016225405
2,ecj2018,national-500-5000,rw1621.tsp,-0.16522701,0.3331032,-0.056870386,-0.079955116,0.032924213,0.08588096,-0.120467074,-0.15202957,0.3897268,0.034345265,0.028026463,0.18357064,-0.06974944,0.16927938,-0.06637212,-0.0023882028,0.03426152,0.22497033,0.35496998,0.43099394
3,ecj2018,national-500-5000,uy734.tsp,0.18805543,0.28174993,-0.05319742,-0.116081454,0.09614842,0.12927848,-0.12592146,-0.15621886,0.28854948,0.13634905,-6.607062e-05,0.16801803,-0.11465592,0.010152765,-0.06501374,0.013410023,-0.062745,0.18209682,0.34387195,0.26550138
4,ecj2018,national-500-5000,zi929.tsp,-0.14657179,0.2700867,-0.068826616,-0.05040237,0.043211274,0.03012794,-0.12347218,-0.15689032,0.41451627,0.009887061,0.0532751,0.15494815,-0.037532296,0.27176103,-0.08955305,-0.029352276,0.07350653,0.25865293,0.44563097,0.4231166
5,ecj2018,netgen,1000-10-1.tsp,0.2041835,-0.004141034,0.09900772,4.1535034,0.24821132,-0.029261317,-0.16979252,-0.15789258,0.46695098,0.15121022,0.032234866,-0.09979271,0.8561732,-0.045541115,-0.117912814,-0.11448855,-0.03234926,1.7787136,0.32621363,-0.029081022
6,ecj2018,netgen,1000-10-10.tsp,0.20798591,-0.005290218,0.12319275,4.010458,0.24680306,-0.027207142,-0.16945018,-0.16046923,0.46822742,0.1454694,0.030083768,-0.096684165,0.8432461,-0.0531265,-0.11667214,-0.11311158,-0.033475533,1.7615836,0.3414342,-0.027636189
7,ecj2018,netgen,1000-10-11.tsp,0.20728946,-0.006895908,0.13278696,3.968448,0.24692129,-0.024176735,-0.16902946,-0.16229682,0.47140595,0.14336705,0.02792987,-0.09664153,0.84099406,-0.0571966,-0.11584626,-0.11313095,-0.03400319,1.7513928,0.3436307,-0.030789256
8,ecj2018,netgen,1000-10-12.tsp,0.21140608,-0.007047793,0.11508483,4.0385647,0.24635132,-0.027319051,-0.16920112,-0.16161184,0.46775326,0.14473838,0.03014285,-0.096018665,0.8336255,-0.055913087,-0.11651148,-0.112839356,-0.034996547,1.7382338,0.34312525,-0.028170696
9,ecj2018,netgen,1000-10-13.tsp,0.21169801,-0.011039792,0.13850592,3.898965,0.24554949,-0.022226794,-0.16825214,-0.16457391,0.47270828,0.14116234,0.026248267,-0.09548889,0.8215301,-0.06463707,-0.11486519,-0.11229597,-0.037240926,1.703133,0.3515689,-0.03355697
10,ecj2018,netgen,1000-10-14.tsp,0.20530462,-0.006909454,0.13515858,4.000732,0.2472983,-0.024705555,-0.16927171,-0.16134235,0.47101036,0.14504978,0.028643478,-0.09829122,0.8392753,-0.05595344,-0.11627765,-0.11365526,-0.035101615,1.733731,0.33839756,-0.032826483
11,ecj2018,netgen,1000-10-15.tsp,0.20744759,-0.0074647386,0.13633473,4.00042,0.24692841,-0.02389695,-0.16893694,-0.1625989,0.4718388,0.14365737,0.027627217,-0.09687851,0.84191364,-0.057398822,-0.115726046,-0.113210954,-0.03354909,1.7580167,0.3435024,-0.03143762
12,ecj2018,netgen,1000-10-16.tsp,0.21138711,-0.007939535,0.12857673,4.010684,0.24589461,-0.025397383,-0.16886452,-0.16287419,0.46972603,0.14233284,0.02866672,-0.095127605,0.83084464,-0.059392475,-0.11576873,-0.11241488,-0.03541511,1.7320162,0.3498089,-0.029076753
13,ecj2018,netgen,1000-10-17.tsp,0.20793736,-0.0070417547,0.12368614,4.005677,0.24710445,-0.025465008,-0.16906881,-0.16215882,0.47039574,0.14426139,0.028756045,-0.09731506,0.8396602,-0.056161035,-0.11623519,-0.113374665,-0.034633946,1.7421125,0.3427793,-0.03128579
14,ecj2018,netgen,1000-10-18.tsp,0.20537497,-0.006475352,0.124523334,3.9744778,0.24779616,-0.025142951,-0.16934858,-0.16097598,0.47113103,0.14580935,0.028327813,-0.09903524,0.846168,-0.05459968,-0.116566665,-0.11413424,-0.033178348,1.7634856,0.33784035,-0.032955095
15,ecj2018,netgen,1000-10-19.tsp,0.20962699,-0.009565865,0.14121827,3.922198,0.24597716,-0.022847418,-0.16866887,-0.16349794,0.4723105,0.14245379,0.026604384,-0.096343994,0.8293677,-0.06207024,-0.11521544,-0.112737946,-0.035400644,1.7295595,0.34815824,-0.03289157
16,ecj2018,netgen,1000-10-2.tsp,0.20670731,-0.00535002,0.12169168,3.9981456,0.24731423,-0.026871026,-0.16946992,-0.16032484,0.46850356,0.14669141,0.02998334,-0.0980265,0.84450924,-0.052318256,-0.11693878,-0.11367758,-0.032921165,1.7688906,0.33603114,-0.029485987
17,ecj2018,netgen,1000-10-20.tsp,0.20766717,-0.0075785136,0.13559009,3.9901679,0.24695437,-0.024324121,-0.16881454,-0.16303115,0.47150505,0.1436493,0.027929021,-0.09690014,0.83882076,-0.05796049,-0.11586919,-0.11330557,-0.033884432,1.7528627,0.34334758,-0.0325878
18,ecj2018,netgen,1000-10-21.tsp,0.20699307,-0.0049188286,0.11254513,4.061776,0.24747282,-0.027977036,-0.16953741,-0.15993024,0.46769455,0.1467844,0.030938158,-0.097572714,0.8464034,-0.05077554,-0.1170893,-0.11355514,-0.033627253,1.7590392,0.33705506,-0.028082164
19,ecj2018,netgen,1000-10-22.tsp,0.2061605,-0.0068323733,0.13203777,3.9577837,0.24735105,-0.024523716,-0.16915308,-0.16181542,0.47114578,0.1454071,0.028030653,-0.098340735,0.84140104,-0.055919696,-0.1163085,-0.113807596,-0.03306951,1.7649921,0.33744586,-0.03269896
