,root,group,prob,X1_1,X2_1,X1_2,X2_2,X1_3,X2_3,X1_4,X2_4,X1_5,X2_5,X1_6,X2_6,X1_7,X2_7,X1_8,X2_8,X1_9,X2_9,X1_10,X2_10
0,ecj2018,national-500-5000,lu980.tsp,-0.016654303,-0.099280894,0.015353366,0.5898094,0.36008996,0.46556205,3.197965,-0.1476525,0.4737451,2.6237998,-0.06963123,-0.10432203,-0.16216479,1.9742357,-0.009505904,-0.08935273,0.8749019,2.3167617,0.6346398,0.23637958
1,ecj2018,national-500-5000,mu1979.tsp,0.7007087,0.32051295,1.2672338,0.049990274,1.3875697,-0.10018226,-0.14732061,0.17984508,0.02263936,-0.14058168,0.38829482,0.532885,0.6751073,0.048009224,0.35102344,1.0693209,0.8345029,0.08811852,-0.16967663,0.1008467
2,ecj2018,national-500-5000,rw1621.tsp,0.09744275,0.2925506,0.36388105,0.043799147,-0.16484755,0.23947798,-0.030860275,-0.12005554,0.13449349,-0.09076555,-0.12846042,-0.10831894,-0.04665387,-0.082334846,0.29873955,0.005797911,0.17544657,0.010992168,-0.055447664,-0.12969358
3,ecj2018,national-500-5000,uy734.tsp,-0.009558203,-0.02020299,0.01991499,0.43821424,0.45550716,0.087678924,-0.15435989,1.7235209,-0.07502005,0.552295,0.07970924,-0.00827732,0.039741214,0.39814886,-0.015755571,0.076328486,-2.2113114e-05,0.33974284,0.76736754,0.012771614
4,ecj2018,national-500-5000,zi929.tsp,0.112050444,0.42334566,0.536671,0.010114396,0.018519571,0.6095018,2.0295653,-0.14739329,0.26592484,-0.0905118,-0.024385294,-0.0033606102,-0.15262917,2.4641051,0.1884156,-0.1672882,0.54505795,0.43933916,0.10645609,0.03942893
5,ecj2018,netgen,1000-10-1.tsp,0.5785419,0.5164219,2.4833448,-0.14775667,-0.1685012,-0.087781794,-0.1699498,0.26889667,-0.016504465,-0.13629489,0.14504752,0.5795517,3.5560267,0.10287334,0.95474595,0.6594263,2.1062512,0.009924634,-0.0060169585,0.5418149
6,ecj2018,netgen,1000-10-10.tsp,0.5397665,0.5394788,2.4713871,-0.14854237,-0.16851157,-0.08852614,-0.16994046,0.27372196,-0.018850237,-0.13633186,0.1409341,0.5681505,3.5335279,0.11081735,0.9590243,0.6511944,2.0990283,0.010488851,-0.005807602,0.54493225
7,ecj2018,netgen,1000-10-11.tsp,0.5754855,0.51824075,2.469507,-0.1490766,-0.16843027,-0.087460145,-0.16994758,0.27138203,-0.016676594,-0.13638733,0.1399843,0.5666314,3.5330513,0.09076513,0.9510849,0.65265507,2.0872195,0.005026576,-0.0065372456,0.5350556
8,ecj2018,netgen,1000-10-12.tsp,0.5105376,0.5517114,2.4777951,-0.14828786,-0.16857702,-0.08835031,-0.16993827,0.27028954,-0.02200976,-0.13552696,0.1427484,0.57294905,3.5468996,0.13788955,0.9715468,0.64713615,2.1208549,0.017338857,-0.005226162,0.55192417
9,ecj2018,netgen,1000-10-13.tsp,0.5124439,0.5483029,2.4697618,-0.14938189,-0.16851434,-0.08753899,-0.16995099,0.2705264,-0.021830386,-0.13563439,0.14112633,0.5702336,3.5267315,0.13037308,0.9689913,0.64255863,2.112586,0.013473759,-0.005571063,0.54580295
10,ecj2018,netgen,1000-10-14.tsp,0.57770395,0.5184799,2.4725797,-0.14815132,-0.16841798,-0.08661345,-0.1699661,0.27339342,-0.016594805,-0.13674065,0.14333694,0.5769858,3.5362391,0.08482263,0.94972324,0.6579935,2.0989335,0.00550245,-0.0067308806,0.53233224
